0,494,256,15
249,470,84,32
404,436,33,57
465,433,37,59
312,423,72,64
173,430,33,56
140,430,31,56
108,430,33,54
76,430,35,53
46,429,34,54
199,422,35,67
463,352,38,54
436,351,33,55
407,351,37,54
376,350,33,54
219,345,37,69
169,345,34,55
137,345,31,66
107,344,35,54
82,344,33,53
48,344,33,52
17,342,34,53
473,266,33,54
438,266,33,53
402,265,34,66
375,264,36,56
263,262,35,55
204,260,27,54
142,260,32,53
232,259,37,57
111,259,33,54
81,258,34,54
49,258,34,53
470,181,34,54
439,180,34,53
410,179,28,53
379,178,33,54
345,177,37,55
317,177,38,55
226,175,35,54
175,175,34,53
287,173,34,62
142,173,34,54
116,173,33,54
81,172,33,54
51,172,34,53
22,172,27,52
252,170,38,61
473,95,33,53
444,94,32,54
413,93,31,54
383,93,26,53
329,91,33,55
270,89,35,56
236,89,37,54
175,89,35,52
205,88,34,55
145,88,33,53
296,86,35,60
115,86,32,54
122,92,19,43
83,86,34,53
53,85,34,55
1,85,32,53
473,8,33,54
448,8,32,53
412,7,33,54
382,7,33,54
352,7,27,52
322,5,32,54
291,4,32,55
259,4,34,54
230,3,28,54
178,2,33,54
147,2,34,53
117,1,32,54
124,6,18,43
85,1,33,53
57,0,31,54
0,494,256,15
249,470,84,32
404,436,33,57
465,433,37,59
312,423,72,64
173,430,33,56
140,430,31,56
108,430,33,54
76,430,35,53
46,429,34,54
199,422,35,67
463,352,38,54
436,351,33,55
407,351,37,54
376,350,33,54
219,345,37,69
169,345,34,55
137,345,31,66
107,344,35,54
82,344,33,53
48,344,33,52
17,342,34,53
473,266,33,54
438,266,33,53
402,265,34,66
375,264,36,56
263,262,35,55
204,260,27,54
142,260,32,53
232,259,37,57
111,259,33,54
81,258,34,54
49,258,34,53
470,181,34,54
439,180,34,53
410,179,28,53
379,178,33,54
345,177,37,55
317,177,38,55
226,175,35,54
175,175,34,53
287,173,34,62
142,173,34,54
116,173,33,54
81,172,33,54
51,172,34,53
22,172,27,52
252,170,38,61
473,95,33,53
444,94,32,54
413,93,31,54
383,93,26,53
329,91,33,55
270,89,35,56
236,89,37,54
175,89,35,52
205,88,34,55
145,88,33,53
296,86,35,60
115,86,32,54
122,92,19,43
83,86,34,53
53,85,34,55
1,85,32,53
473,8,33,54
448,8,32,53
412,7,33,54
382,7,33,54
352,7,27,52
322,5,32,54
291,4,32,55
259,4,34,54
230,3,28,54
178,2,33,54
147,2,34,53
117,1,32,54
124,6,18,43
85,1,33,53
57,0,31,54
